id_persona,edad,departamento,zona,ingreso_mensual,ahorro_mensual,acceso_credito,tipo_institucion,frecuencia_ahorro,historial_crediticio,tiene_cuenta_bancaria
30,37,Tacna,Urbana,2054.76,54.28,Sí,Financiera,Nunca,Bueno,Sí
31,42,Junín,Urbana,2006.18,205.52,No,Financiera,Ocasional,Bueno,Sí
32,18,Puno,Urbana,720.77,329.23,No,Caja Municipal,Ocasional,Regular,Sí
33,54,Junín,Urbana,989.29,192.37,Sí,Financiera,Nunca,Bueno,Sí
34,54,Apurímac,Urbana,1379.8,187.79,Sí,Caja Municipal,Ocasional,Bueno,No
35,55,Loreto,Urbana,978.56,110.1,No,Caja Municipal,Mensual,Bueno,Sí
36,33,Tacna,Rural,616.55,15.394177498047,Sí,Financiera,Nunca,Bueno,No
37,33,Apurímac,Urbana,913.88,320.11,No,Caja Municipal,Mensual,Regular,No
38,44,Junín,Rural,1216.46,9.48,No,Caja Municipal,Mensual,Bueno,Sí
39,59,Loreto,Urbana,1192.16,578.43,No,Banco,Mensual,Nulo,Sí
40,28,Junín,Urbana,856.51,299.92,No,Financiera,Mensual,Malo,Sí
41,57,Loreto,Rural,1107.48,645.33,Sí,Banco,Mensual,Malo,Sí
42,42,Lima,Urbana,920.14,277.14,No,Banco,Ocasional,Malo,No
43,44,Loreto,Urbana,864.4,359.42026137467,No,Caja Municipal,Ocasional,Regular,Sí
44,60,Apurímac,Rural,594.85,74.821146513577,No,Cooperativa,Nunca,Bueno,Sí
45,60,Puno,Urbana,746.55,220.09,Sí,Caja Municipal,Mensual,Regular,Sí
46,56,Loreto,Rural,1969.02,72.32,Sí,Cooperativa,Mensual,Bueno,Sí
47,51,Lima,Rural,423.3,124.59,No,Ninguna,Mensual,Bueno,No
48,22,Lima,Urbana,705.65,271.21,Sí,Cooperativa,Nunca,Malo,Sí
49,36,Junín,Urbana,218.56,130.44,Sí,Banco,Ocasional,Regular,Sí
50,33,Lima,Rural,2126.12,12.397744000501,No,Financiera,Mensual,Nulo,No
51,20,Puno,Urbana,1084.82,89.55,Sí,Banco,Mensual,Malo,No
52,33,Puno,Urbana,1618.12,113.97,No,Caja Municipal,Mensual,Bueno,Sí
53,39,Loreto,Urbana,1447.7,382.82,Sí,Banco,Ocasional,Regular,Sí
54,53,Puno,Rural,2244.96,398.05,No,Cooperativa,Mensual,Bueno,Sí
55,36,Puno,Rural,1856.25,425.76806900345,Sí,Financiera,Mensual,Malo,Sí
56,59,Loreto,Urbana,1348.84,164.7,No,Banco,Ocasional,Regular,No
57,60,Junín,Rural,2291.19,257.18,No,Caja Municipal,Mensual,Bueno,Sí
58,21,Apurímac,Urbana,2050.83,400.01,Sí,Financiera,Ocasional,Nulo,No
59,50,Puno,Rural,657.93,449.03383594512,Sí,Ninguna,Ocasional,Malo,Sí
60,60,Puno,Urbana,772.29,262.92746701741,No,Caja Municipal,Mensual,Regular,Sí
61,49,Apurímac,Rural,2047.01,422.41,Sí,Cooperativa,Mensual,Bueno,No
62,48,Lima,Urbana,847.78,319.86126649828,No,Banco,Ocasional,Malo,Sí
63,44,Junín,Urbana,1200.7,612.37,No,Banco,Nunca,Bueno,No
64,18,Puno,Urbana,1218.06,246.28,Sí,Cooperativa,Ocasional,Regular,No
65,45,Loreto,Urbana,1060.01,86.92,Sí,Caja Municipal,Nunca,Bueno,No
66,54,Lima,Urbana,360.49,74.05,Sí,Banco,Ocasional,Bueno,Sí
67,41,Apurímac,Urbana,2175.09,3.34,No,Banco,Ocasional,Bueno,Sí
68,40,Junín,Rural,1968.29,214.31,Sí,Caja Municipal,Ocasional,Regular,Sí
69,46,Apurímac,Rural,2028.4,93.36,No,Ninguna,Mensual,Malo,No
70,18,Tacna,Urbana,1250.28,270.34,Sí,Ninguna,Ocasional,Regular,Sí
71,37,Junín,Urbana,2258.98,650.85,No,Caja Municipal,Ocasional,Bueno,No
72,44,Apurímac,Rural,1073.93,124.14,No,Banco,Ocasional,Nulo,Sí
73,27,Tacna,Urbana,1426.19,349.29,Sí,Banco,Mensual,Nulo,Sí
74,33,Junín,Urbana,2003.91,448.97,No,Banco,Ocasional,Bueno,Sí
75,45,Apurímac,Urbana,937.08,67.23,No,Banco,Mensual,Malo,No
76,26,Apurímac,Urbana,2002.03,744.5,No,Banco,Mensual,Nulo,No
77,55,Lima,Urbana,1662.58,144.38,Sí,Banco,Mensual,Bueno,Sí
78,56,Tacna,Rural,2036.44,118.35,No,Ninguna,Ocasional,Nulo,Sí
79,56,Tacna,Urbana,1756.54,329.04,Sí,Banco,Ocasional,Bueno,Sí
80,36,Apurímac,Rural,1082.45,217.21,Sí,Banco,Nunca,Regular,No
81,62,Lima,Urbana,457.67,99.79,Sí,Caja Municipal,Nunca,Bueno,Sí
82,63,Tacna,Urbana,1628.96,231.95,No,Caja Municipal,Mensual,Regular,No
83,26,Lima,Urbana,439.75,136.23,Sí,Banco,Mensual,Bueno,Sí
84,50,Loreto,Urbana,2267.75,138.3,Sí,Financiera,Mensual,Nulo,Sí
85,64,Junín,Rural,1808.95,28.65,Sí,Banco,Nunca,Regular,Sí
86,64,Apurímac,Rural,957.77,350.39,No,Financiera,Mensual,Bueno,Sí
87,41,Puno,Urbana,1175.5144486584,79.825957649724,No,Caja Municipal,Ocasional,Malo,Sí
88,30,Loreto,Rural,2084.08,175.93,Sí,Financiera,Mensual,Bueno,Sí
89,48,Puno,Urbana,1288.66,279.99,Sí,Caja Municipal,Mensual,Bueno,Sí
90,59,Lima,Rural,1104.7,144.99,No,Cooperativa,Nunca,Regular,No
91,26,Puno,Urbana,1467.57,253.25,No,Caja Municipal,Mensual,Malo,Sí
92,33,Junín,Rural,1759.15,77.34,Sí,Banco,Mensual,Bueno,Sí
93,29,Loreto,Urbana,1498.86,209.73,Sí,Cooperativa,Ocasional,Regular,Sí
94,52,Loreto,Urbana,1291.83,546.43,No,Cooperativa,Mensual,Regular,Sí
95,38,Tacna,Rural,1357.3,331.35,Sí,Banco,Mensual,Bueno,Sí
96,22,Loreto,Rural,2232.94,120.42,Sí,Banco,Mensual,Regular,Sí
97,23,Loreto,Urbana,669.04,131.32,No,Financiera,Mensual,Bueno,No
98,23,Puno,Urbana,1418.95,509.25,Sí,Banco,Ocasional,Bueno,Sí
99,24,Tacna,Urbana,1270.43,84.03,Sí,Banco,Mensual,Bueno,No
100,60,Junín,Urbana,1045.75,526.04,Sí,Financiera,Nunca,Bueno,Sí
101,36,Tacna,Urbana,1672.86,474.9,Sí,Cooperativa,Mensual,Malo,No
102,46,Apurímac,Urbana,1434.48,156.73,Sí,Banco,Mensual,Nulo,No
103,30,Loreto,Urbana,1201.49,392.2,Sí,Ninguna,Ocasional,Bueno,Sí
104,54,Junín,Urbana,206.06,20.89,Sí,Financiera,Ocasional,Regular,Sí
105,59,Puno,Rural,2280.42,363.51,Sí,Cooperativa,Ocasional,Nulo,Sí
106,31,Puno,Urbana,2208.36,345.08238960424,Sí,Caja Municipal,Ocasional,Bueno,Sí
107,62,Lima,Urbana,1111.49,340.89,Sí,Caja Municipal,Mensual,Bueno,Sí
108,19,Loreto,Urbana,839.1,38.68,No,Caja Municipal,Mensual,Nulo,No
109,57,Junín,Urbana,1857.67,82.21,Sí,Banco,Nunca,Regular,Sí
110,56,Tacna,Rural,1180.38,106.61,No,Financiera,Ocasional,Regular,Sí
111,31,Lima,Rural,927.91,354.26,Sí,Cooperativa,Nunca,Bueno,Sí
112,20,Loreto,Urbana,811.32,360.2,Sí,Ninguna,Ocasional,Bueno,Sí
113,55,Junín,Urbana,1855.51,122.32,Sí,Banco,Ocasional,Malo,No
114,42,Lima,Urbana,790.47,218.85,No,Banco,Ocasional,Regular,Sí
115,25,Tacna,Urbana,1861.47,700.43,Sí,Cooperativa,Mensual,Bueno,No
116,36,Tacna,Rural,2625.49,252.58,No,Ninguna,Nunca,Regular,Sí
117,53,Tacna,Rural,1234.72,332.03193296869,No,Caja Municipal,Ocasional,Nulo,No
118,30,Loreto,Urbana,1179.1,88.69,Sí,Caja Municipal,Nunca,Regular,Sí
119,41,Loreto,Rural,2488.94,499.19,Sí,Banco,Nunca,Malo,No
120,46,Apurímac,Urbana,979.76,109.83,Sí,Caja Municipal,Ocasional,Bueno,Sí
121,32,Lima,Rural,1585.32,156.61,No,Banco,Ocasional,Regular,Sí
122,25,Tacna,Urbana,1908.17,335.8,Sí,Banco,Ocasional,Bueno,Sí
123,31,Tacna,Rural,1352.93,444.95,Sí,Caja Municipal,Mensual,Bueno,Sí
124,30,Lima,Urbana,1208.32,67.765402047101,Sí,Financiera,Ocasional,Malo,Sí
125,31,Puno,Urbana,1877.22,281.92,No,Caja Municipal,Nunca,Malo,No
126,27,Junín,Urbana,1686.66,336.56,No,Ninguna,Ocasional,Regular,Sí
127,27,Tacna,Urbana,1237.72,6.25,No,Banco,Mensual,Malo,No
128,43,Junín,Urbana,329.57,317.02,No,Caja Municipal,Mensual,Bueno,Sí
129,18,Junín,Urbana,2435.24,84.015723949212,Sí,Caja Municipal,Ocasional,Bueno,Sí
130,61,Tacna,Urbana,1019.12,197.25,No,Financiera,Mensual,Bueno,No
131,64,Loreto,Urbana,1174.0,269.17000702325,Sí,Cooperativa,Ocasional,Regular,Sí
132,27,Apurímac,Rural,1446.84,450.34,No,Caja Municipal,Mensual,Malo,Sí
133,63,Puno,Rural,840.31,43.16,No,Ninguna,Mensual,Regular,No
134,38,Tacna,Urbana,1167.48,364.49,No,Ninguna,Mensual,Bueno,Sí
135,51,Tacna,Urbana,1344.4,559.97,No,Financiera,Ocasional,Regular,Sí
136,44,Puno,Urbana,1144.55,403.73,Sí,Caja Municipal,Mensual,Nulo,Sí
137,18,Apurímac,Urbana,1506.52,612.02,No,Cooperativa,Mensual,Bueno,Sí
138,61,Lima,Urbana,1962.32,522.48,No,Caja Municipal,Ocasional,Regular,Sí
139,24,Loreto,Urbana,1275.02,139.88,Sí,Caja Municipal,Ocasional,Bueno,Sí
140,62,Apurímac,Urbana,626.5,96.86,Sí,Ninguna,Mensual,Bueno,Sí
141,63,Puno,Urbana,330.25,18.327307599002,Sí,Cooperativa,Ocasional,Bueno,Sí
142,37,Lima,Urbana,1454.45,263.75,Sí,Caja Municipal,Ocasional,Malo,Sí
143,60,Puno,Rural,1537.58,43.51,Sí,Ninguna,Mensual,Bueno,No
144,22,Junín,Rural,1131.16,686.56,Sí,Banco,Nunca,Malo,No
145,36,Tacna,Urbana,621.88,596.37,No,Financiera,Ocasional,Malo,No
146,48,Loreto,Urbana,982.01,75.5,Sí,Caja Municipal,Mensual,Nulo,No
147,37,Lima,Rural,873.45,361.58,Sí,Banco,Ocasional,Nulo,No
148,33,Apurímac,Urbana,1717.72,345.51,Sí,Ninguna,Mensual,Regular,Sí
150,54,Loreto,Urbana,2072.42,209.99,Sí,Caja Municipal,Ocasional,Bueno,Sí
151,30,Junín,Urbana,587.25,300.07,No,Banco,Ocasional,Malo,No
152,52,Apurímac,Urbana,2020.15,303.71,Sí,Banco,Ocasional,Bueno,No
153,59,Tacna,Rural,2015.38,107.97,Sí,Caja Municipal,Nunca,Malo,Sí
154,38,Lima,Urbana,1734.05,68.256171796628,Sí,Financiera,Mensual,Nulo,Sí
155,47,Junín,Rural,1133.99,76.31,Sí,Caja Municipal,Nunca,Bueno,No
156,28,Puno,Rural,2312.48,378.34,Sí,Caja Municipal,Nunca,Nulo,Sí
157,21,Puno,Urbana,1673.38,181.7,Sí,Banco,Ocasional,Bueno,No
158,47,Tacna,Urbana,1744.3,25.36,Sí,Caja Municipal,Ocasional,Regular,Sí
159,51,Tacna,Urbana,2734.65,400.28,Sí,Banco,Mensual,Regular,Sí
160,18,Puno,Rural,978.83,49.8,No,Banco,Mensual,Bueno,No
161,61,Lima,Rural,1427.45,293.9,No,Caja Municipal,Mensual,Bueno,Sí
162,23,Puno,Urbana,1410.9,104.88,Sí,Ninguna,Nunca,Bueno,No
163,55,Apurímac,Rural,2038.12,354.0,No,Cooperativa,Ocasional,Bueno,No
164,25,Loreto,Rural,1494.19,415.46,No,Banco,Mensual,Malo,Sí
165,31,Apurímac,Urbana,1730.21,18.108347018405,No,Financiera,Mensual,Bueno,Sí
166,62,Junín,Urbana,1694.39,61.0,No,Banco,Nunca,Malo,No
167,50,Junín,Urbana,2661.7,189.39,Sí,Ninguna,Nunca,Bueno,No
168,53,Loreto,Rural,1591.7,466.16,No,Banco,Mensual,Regular,Sí
169,49,Loreto,Urbana,1216.98,254.94,No,Caja Municipal,Mensual,Regular,Sí
170,54,Lima,Urbana,1521.18,743.83,Sí,Cooperativa,Mensual,Bueno,Sí
171,44,Loreto,Urbana,1829.56,82.56,Sí,Banco,Nunca,Regular,Sí
172,53,Junín,Rural,859.66,478.9,No,Financiera,Mensual,Malo,Sí
173,26,Tacna,Urbana,499.81,359.69,Sí,Caja Municipal,Mensual,Regular,Sí
174,52,Tacna,Urbana,1377.48,155.90283930178,No,Banco,Mensual,Nulo,Sí
175,18,Puno,Urbana,972.22,463.24,Sí,Banco,Ocasional,Bueno,Sí
176,27,Apurímac,Urbana,1591.38,109.19,Sí,Caja Municipal,Mensual,Malo,No
177,27,Apurímac,Urbana,1899.96,159.23,Sí,Banco,Ocasional,Bueno,Sí
178,20,Lima,Urbana,2088.13,194.12,Sí,Financiera,Mensual,Regular,No
179,23,Apurímac,Urbana,1174.29,309.40970048829,Sí,Ninguna,Mensual,Regular,Sí
180,21,Junín,Urbana,817.98,328.7,No,Banco,Ocasional,Malo,Sí
181,60,Lima,Urbana,1306.46,151.25,Sí,Financiera,Nunca,Bueno,Sí
182,27,Tacna,Urbana,1092.82,184.22,Sí,Financiera,Ocasional,Bueno,Sí
183,62,Lima,Rural,1765.1,56.306288114711,Sí,Banco,Ocasional,Regular,No
184,48,Apurímac,Urbana,1793.96,339.2,Sí,Banco,Nunca,Bueno,Sí
185,59,Loreto,Urbana,1612.25,275.54,No,Banco,Mensual,Regular,Sí
186,38,Tacna,Urbana,1053.36,304.52,Sí,Financiera,Ocasional,Nulo,Sí
187,31,Junín,Urbana,2141.88,396.4,No,Cooperativa,Nunca,Bueno,No
188,41,Lima,Rural,1767.75,198.88,Sí,Financiera,Mensual,Bueno,Sí
190,32,Puno,Urbana,1512.6,36.19,Sí,Banco,Ocasional,Nulo,No
191,20,Puno,Urbana,2356.19,184.47,Sí,Caja Municipal,Mensual,Bueno,Sí
193,60,Puno,Urbana,1238.54,96.94,Sí,Financiera,Mensual,Bueno,No
194,48,Junín,Urbana,948.75,184.82,Sí,Banco,Mensual,Bueno,Sí
195,55,Apurímac,Rural,815.13,319.32,No,Caja Municipal,Ocasional,Bueno,No
196,52,Lima,Rural,1493.01,55.97,Sí,Financiera,Ocasional,Bueno,No
197,35,Junín,Rural,1449.25,625.32,No,Cooperativa,Ocasional,Bueno,Sí
198,51,Junín,Urbana,1621.12,424.63,Sí,Banco,Nunca,Malo,No
199,36,Apurímac,Rural,1438.39,95.18,Sí,Banco,Mensual,Nulo,Sí
200,23,Tacna,Urbana,2200.14,28.4,No,Ninguna,Mensual,Bueno,Sí
201,33,Junín,Urbana,1608.65,65.14,Sí,Banco,Mensual,Regular,Sí
202,19,Junín,Urbana,1674.95,263.03,No,Banco,Mensual,Bueno,Sí
203,50,Junín,Urbana,2767.11,366.95,No,Ninguna,Nunca,Bueno,No
204,42,Apurímac,Urbana,384.27,266.29,Sí,Financiera,Mensual,Bueno,No
205,29,Apurímac,Rural,819.22,242.57598127943,No,Cooperativa,Nunca,Bueno,No
206,51,Loreto,Urbana,1181.86,232.13,Sí,Banco,Mensual,Bueno,No
207,38,Tacna,Urbana,799.11,374.77,No,Cooperativa,Mensual,Nulo,Sí
208,29,Lima,Rural,1760.81,347.56,Sí,Financiera,Mensual,Regular,Sí
209,18,Junín,Urbana,2036.29,9.35,Sí,Financiera,Nunca,Malo,No
210,42,Junín,Rural,2126.38,396.8,Sí,Banco,Mensual,Bueno,Sí
211,22,Tacna,Urbana,1580.6,85.92,No,Banco,Mensual,Malo,No
212,50,Loreto,Urbana,888.22,210.48,Sí,Banco,Mensual,Bueno,No
213,54,Tacna,Urbana,1670.49,302.68,Sí,Financiera,Mensual,Regular,Sí
214,64,Apurímac,Urbana,2611.12,385.12960063523,No,Ninguna,Ocasional,Bueno,No
215,59,Puno,Urbana,1304.27,328.04,No,Caja Municipal,Mensual,Bueno,Sí
216,59,Loreto,Urbana,2027.65,383.13,Sí,Ninguna,Ocasional,Bueno,No
217,35,Loreto,Rural,1778.93,303.25,No,Banco,Mensual,Regular,Sí
218,24,Junín,Rural,1050.31,525.94,No,Cooperativa,Mensual,Regular,Sí
219,48,Apurímac,Urbana,2026.35,226.29,Sí,Banco,Nunca,Bueno,Sí
220,55,Loreto,Urbana,1587.77,283.13,No,Financiera,Mensual,Bueno,No
221,55,Tacna,Urbana,1618.15,267.61,No,Caja Municipal,Mensual,Bueno,Sí
222,33,Apurímac,Urbana,2425.99,803.78,No,Caja Municipal,Nunca,Bueno,No
223,33,Apurímac,Rural,1338.41,675.47,No,Cooperativa,Mensual,Bueno,No
224,37,Lima,Urbana,1398.56,313.45389577941,Sí,Financiera,Mensual,Bueno,Sí
226,48,Tacna,Urbana,813.38,408.31694722962,Sí,Financiera,Ocasional,Regular,Sí
227,52,Lima,Urbana,1423.41,297.76,Sí,Banco,Nunca,Malo,Sí
228,31,Tacna,Rural,850.39,626.06,No,Financiera,Nunca,Malo,Sí
229,61,Loreto,Urbana,1895.5,96.63,Sí,Caja Municipal,Ocasional,Regular,Sí
230,22,Apurímac,Urbana,624.73,23.23,No,Banco,Mensual,Regular,Sí
231,32,Loreto,Urbana,519.21,302.07,Sí,Ninguna,Mensual,Regular,No
232,27,Lima,Rural,2024.04,300.7,Sí,Banco,Ocasional,Bueno,Sí
233,64,Loreto,Urbana,1271.8,200.27,No,Banco,Ocasional,Regular,Sí
234,21,Tacna,Urbana,1823.79,99.27,No,Caja Municipal,Ocasional,Malo,Sí
235,25,Tacna,Urbana,1961.73,441.43,Sí,Caja Municipal,Nunca,Bueno,No
236,56,Apurímac,Rural,1405.15,201.2,Sí,Caja Municipal,Nunca,Bueno,Sí
237,35,Apurímac,Urbana,2034.96,110.8343859116,No,Banco,Mensual,Malo,Sí
238,40,Loreto,Rural,377.03,40.846293397924,Sí,Banco,Mensual,Bueno,Sí
239,62,Apurímac,Urbana,595.88,244.58,Sí,Caja Municipal,Mensual,Malo,Sí
240,34,Tacna,Urbana,551.99,109.62,No,Banco,Mensual,Bueno,Sí
241,37,Tacna,Urbana,2019.31,109.00603855396,No,Cooperativa,Mensual,Bueno,No
242,37,Tacna,Urbana,1147.94,154.92,No,Financiera,Mensual,Bueno,Sí
243,36,Loreto,Urbana,1588.15,305.36,No,Financiera,Nunca,Malo,Sí
244,25,Tacna,Urbana,769.18624646108,605.16,No,Caja Municipal,Ocasional,Regular,Sí
245,49,Tacna,Urbana,1437.52,158.89,No,Financiera,Ocasional,Nulo,Sí
246,41,Apurímac,Urbana,1075.18,192.91,Sí,Caja Municipal,Mensual,Bueno,Sí
247,29,Junín,Rural,1531.12,66.8,No,Ninguna,Ocasional,Regular,Sí
248,34,Apurímac,Rural,1296.9,325.69,Sí,Caja Municipal,Mensual,Bueno,Sí
249,57,Puno,Urbana,1435.92,252.15,Sí,Banco,Nunca,Bueno,Sí
251,50,Lima,Urbana,1642.77,515.48,No,Ninguna,Ocasional,Bueno,No
252,20,Junín,Urbana,1171.04,106.69,Sí,Banco,Mensual,Bueno,Sí
253,51,Lima,Rural,1618.58,429.06460150721,Sí,Financiera,Mensual,Nulo,No
254,44,Loreto,Rural,1379.41,483.57,No,Caja Municipal,Ocasional,Bueno,Sí
255,55,Tacna,Urbana,1880.4,267.03,Sí,Caja Municipal,Mensual,Bueno,Sí
256,40,Lima,Urbana,1642.16,240.11331747163,Sí,Banco,Mensual,Malo,Sí
257,44,Loreto,Urbana,1851.31,197.68,Sí,Ninguna,Mensual,Bueno,Sí
258,41,Junín,Urbana,644.74,332.01,No,Ninguna,Mensual,Bueno,Sí
259,41,Junín,Urbana,1144.55,528.15,Sí,Ninguna,Mensual,Bueno,No
260,40,Tacna,Urbana,1635.53,46.6,Sí,Financiera,Mensual,Regular,Sí
262,19,Puno,Rural,1848.23,593.97,No,Financiera,Nunca,Nulo,Sí
263,32,Loreto,Urbana,1731.5,32.37,Sí,Cooperativa,Mensual,Nulo,Sí
264,55,Puno,Urbana,808.98,105.96488599497,No,Banco,Mensual,Nulo,No
265,60,Apurímac,Urbana,1299.82,196.87,Sí,Ninguna,Nunca,Bueno,No
266,21,Apurímac,Urbana,1380.53,572.82,No,Banco,Nunca,Malo,No
267,23,Lima,Rural,1439.73,234.75,No,Caja Municipal,Mensual,Malo,Sí
268,60,Apurímac,Urbana,825.12,457.53,Sí,Financiera,Nunca,Bueno,No
269,55,Tacna,Rural,1062.69,105.22,Sí,Banco,Nunca,Bueno,No
270,29,Loreto,Urbana,1324.26,8.19,Sí,Financiera,Mensual,Malo,Sí
271,24,Puno,Urbana,1582.21,271.35,Sí,Ninguna,Nunca,Bueno,Sí
272,29,Loreto,Urbana,1372.81,321.49,Sí,Banco,Nunca,Malo,Sí
273,38,Lima,Rural,508.79,454.06,Sí,Cooperativa,Nunca,Nulo,Sí
274,55,Lima,Urbana,1637.7,101.76,Sí,Caja Municipal,Nunca,Bueno,Sí
275,42,Tacna,Urbana,1440.48,203.61,Sí,Caja Municipal,Mensual,Bueno,No
276,52,Apurímac,Urbana,1932.63,307.02,No,Caja Municipal,Ocasional,Nulo,Sí
277,41,Puno,Urbana,827.64,300.52,No,Caja Municipal,Ocasional,Bueno,Sí
278,41,Puno,Urbana,1693.54,19.44,No,Caja Municipal,Nunca,Bueno,Sí
280,23,Tacna,Urbana,1206.47,149.84,No,Banco,Mensual,Bueno,Sí
281,33,Junín,Rural,1413.72,85.64,Sí,Financiera,Mensual,Bueno,Sí
282,45,Lima,Urbana,1192.63,176.71,No,Financiera,Mensual,Regular,Sí
283,59,Loreto,Rural,912.3,632.73,Sí,Financiera,Ocasional,Bueno,Sí
284,57,Apurímac,Urbana,1478.46,369.33,Sí,Banco,Ocasional,Regular,Sí
285,33,Lima,Urbana,2067.33,395.22,Sí,Cooperativa,Mensual,Bueno,Sí
286,23,Lima,Rural,2126.22,45.53,Sí,Cooperativa,Mensual,Regular,No
287,24,Lima,Urbana,2322.92,400.22,Sí,Banco,Mensual,Regular,Sí
288,38,Puno,Urbana,1603.58,327.75,No,Cooperativa,Mensual,Bueno,No
289,40,Lima,Rural,997.47,321.29,Sí,Financiera,Ocasional,Bueno,No
290,42,Loreto,Urbana,1138.38,259.35,Sí,Banco,Mensual,Malo,Sí
291,50,Tacna,Rural,1150.94,501.31,Sí,Banco,Mensual,Bueno,Sí
292,24,Loreto,Urbana,1923.9,309.97,No,Banco,Ocasional,Nulo,Sí
293,37,Apurímac,Urbana,1784.87,403.20872916147,No,Financiera,Nunca,Malo,Sí
294,19,Apurímac,Urbana,960.98,56.05,Sí,Banco,Mensual,Nulo,No
295,23,Junín,Urbana,1958.85,330.57,No,Banco,Mensual,Regular,Sí
296,60,Junín,Urbana,1283.74,148.92,No,Caja Municipal,Ocasional,Bueno,No
297,35,Puno,Urbana,634.81,85.57,No,Banco,Nunca,Malo,No
298,32,Tacna,Urbana,1926.72,319.07,Sí,Banco,Mensual,Malo,Sí
299,48,Loreto,Urbana,1617.11,97.93,No,Banco,Mensual,Bueno,No
300,24,Loreto,Urbana,2270.78,234.04,Sí,Cooperativa,Mensual,Bueno,Sí
301,42,Junín,Urbana,716.16,37.52,Sí,Cooperativa,Ocasional,Bueno,No
303,50,Tacna,Urbana,1932.99,591.67,No,Banco,Mensual,Malo,No
304,59,Tacna,Urbana,1796.47,283.7,Sí,Ninguna,Nunca,Regular,No
305,30,Loreto,Urbana,693.03,566.61,No,Caja Municipal,Nunca,Bueno,Sí
306,36,Junín,Urbana,1787.62,392.27850025551,Sí,Banco,Mensual,Bueno,Sí
307,24,Tacna,Urbana,1239.01,343.64,No,Banco,Mensual,Bueno,Sí
308,27,Tacna,Urbana,587.22,251.69,Sí,Ninguna,Mensual,Regular,No
309,35,Junín,Rural,1317.84,685.25,Sí,Caja Municipal,Mensual,Bueno,Sí
310,26,Apurímac,Urbana,1781.1,166.11,Sí,Ninguna,Mensual,Regular,Sí
311,49,Junín,Urbana,2288.48,449.33,No,Banco,Mensual,Nulo,Sí
312,32,Apurímac,Rural,2830.37,307.83,No,Caja Municipal,Mensual,Bueno,Sí
313,46,Junín,Rural,1739.3,557.85,Sí,Banco,Mensual,Bueno,Sí
314,38,Apurímac,Rural,2176.42,501.21,No,Caja Municipal,Mensual,Bueno,No
315,25,Puno,Rural,1379.9,155.79,Sí,Caja Municipal,Nunca,Nulo,Sí
316,32,Tacna,Rural,2116.22,622.74,Sí,Financiera,Mensual,Bueno,Sí
317,29,Lima,Urbana,816.13,428.8,No,Banco,Ocasional,Regular,No
318,50,Loreto,Urbana,1574.89,286.15,No,Cooperativa,Mensual,Malo,Sí
